现在 进入
不足 内容
内容 规范
规范 政策
政策 调整
内容 不能
价格 信息
需求 价格
价格 信息
造成 信息
信息 机制
机制 健全
健全 信息
信息 渠道
基层 缺乏
缺乏 人员
中 没有
中 发挥
没有 发挥
发挥 作用
作用 价格
部门 进行
部门 价格
进行 价格
价格 时
时 要求
存在 突出
突出 促进
促进 价格
应 抓好
方面 推进
推进 价格
提高 增加
增加 农民收入
应 积极
应 推进
积极 推进
推进 价格
坚持 主要
促进 粮食
粮食 保护
保护 利益
促进 增收
增收 完善
完善 惠农
补贴 方式
落实 惠农
涉农 项目
项目 惠农
监管 国家
政策 办法
办法 实行
加大 力度
力度 扩大
范围 提高
标准 整治
规范 发挥
发挥 价格
功能 提高
提高 价格
提高 信息
价格 信息
信息 扩大
扩大 信息
成本 调查
调查 价格
价格 成果
成果 完善
成果 促进
完善 促进
促进 增产
增产 增收
市场 信息
信息 作用
作用 促进
利用 价格
利用 机制
价格 机制
价格 进行
机制 进行
机制 利益
进行 利益
利益 引导
现代 高效
完善 价格
供给 需求
需求 功能
流通 环节
环节 保持
增强 市场
做好 农村土地
做好 流转
农村土地 流转
农村土地 价格
流转 价格
流转 监管
价格 监管
价格 加快
监管 加快
监管 农村土地
加快 农村土地
加快 流转
农村土地 流转
农村土地 价格
流转 价格
流转 管理
价格 管理
价格 土地
土地 市场
市场 建立
建立 完善
信息 机制
机制 流转
流转 指导
指导 价格
指导 建立
价格 建立
价格 价格
建立 价格
价格 机制
机制 保持
机制 土地
保持 土地
土地 稳定
稳定 实现
利益 有效
有效 完善
价格 机制
价格 保证
机制 保证
保证 获得
获得 收益
收益 加强
收益 涉农
加强 涉农
加强 价格
涉农 价格
涉农 监管
价格 监管
价格 加强
监管 加强
监管 涉农
加强 涉农
涉农 监管
监管 网络
网络 健全
健全 乡镇
乡镇 价格
价格 监管
监管 扩大
扩大 价格
价格 监管
监管 完善
完善 涉农
制度 价格
本报 北京
中国 成立
经济 全面
生活 改善
改善 社会
社会 稳定
稳定 中国
中国 特色
中国 社会主义
特色 社会主义
特色 事业
社会主义 事业
重大 政策
推动 当前
进入 历史
方式 实现
经济 结构
经济 实现
结构 实现
产业 协调
农民收入 方面
农民收入 实现
方面 实现
经济 制度
经济 实现
制度 实现
城乡 经济社会
城乡 实现
经济社会 实现
结构 加快
加快 建立
加快 城乡
建立 城乡
建立 一体化
城乡 一体化
城乡 体制
一体化 体制
一体化 机制
体制 机制
我国 主要
主要 供给
价格 变化
出现 全面
出现 持续
全面 持续
消费 影响
收入 提高
记者 三农问题
社会 关注
必须 三农问题
三农问题 历史
历史 原因
原因 改革
了解 研究
研究 三农问题
增收 体制
体制 机制
中央 连续
一号 文件
一号 重点
文件 重点
重点 改革
经营 体制
流通 体制
中央 连续
一号 文件
一号 重点
文件 重点
促进 特别
特别 粮食
稳定 促进
促进 增收
相关 政策
政策 理论
理论 了解
解决 三农问题
部门 重视
记者 需要
三农问题 研究
领域 里
领域 坚持
里 坚持
三农问题 进行
三农问题 深入
进行 深入
深入 研究
研究 进行
必须 深入
地区 水稻
左右 种粮
种粮 成本
成本 提高
提高 种粮
种粮 效益
耕地 左右
主要 领导
全市 进行
全市 调查
进行 调查
进行 采取
调查 采取
调查 切实
采取 切实
采取 措施
切实 措施
切实 解决
措施 解决
措施 土地
解决 土地
中 进行
进行 深入
深入 调查
调查 研究
专家 当前
当前 治理
治理 模式
模式 成为
模式 保障
保障 群众
制度 成立
成立 会议
会议 方式
方式 保障
国务院 出台
加快 供销
加快 合作社
供销 合作社
供销 改革
合作社 改革
加快 供销
加快 合作社
供销 合作社
供销 改革
合作社 改革
指导 坚持
推进 经营
推进 组织
经营 组织
创新 构建
构建 高效
高效 功能
功能 城乡
现代 经营
供销 合作社
县 县
县 地区
超过 亿元
亿元 我国
体制 机制
体制 不能
机制 不能
机制 适应
不能 适应
适应 要求
要求 供销
要求 合作社
供销 合作社
解决 当前
解决 供销
当前 供销
当前 合作社
供销 合作社
合作社 突出
系统 创新
创新 机制
风险 实现
发生 变化
变化 进入
进入 供销
供销 合作社
合作社 实施
现代 流通
县 县
新型 流通
新型 企业
流通 企业
企业 构建
中心 综合
投入 亿元
投入 支持
亿元 支持
带动 地方
带动 财政
地方 财政
地方 配套
财政 配套
财政 资金
配套 资金
配套 亿元
资金 亿元
资金 加快
亿元 加快
加快 基层
基层 经营
经营 改造
改造 升级
改造 提高
升级 提高
升级 管理
提高 管理
管理 经济
经济 全国
合作 指导
供销 合作社
供销 合作社
供销 事业
合作社 事业
供销 合作社
最大 合作
合作 经济
合作 组织
经济 组织
面临 提高
各地 供销
各地 合作社
供销 合作社
供销 采取
合作社 采取
社会 资本
加快 推进
加快 投资
推进 投资
推进 主体
投资 主体
健全 治理
治理 结构
治理 完善
结构 完善
结构 企业
完善 企业
企业 强化
强化 市场
市场 主要
主要 连续
连续 保持
保持 增长
增长 系统
达到 亿元
达到 实现
亿元 实现
实现 亿元
亿元 今年
亿元 增长
增长 供销
供销 合作社
供销 化肥
合作社 化肥
社会 不少
不少 供销
不少 合作社
供销 合作社
合作社 进入
经营 领域
经营 全国
领域 全国
领域 供销
全国 供销
全国 合作社
供销 合作社
村级 综合
综合 提供
供销 合作社
合作社 城乡
城乡 经营
设施 技术
技术 具有
具有 经济
综合 优势
要求 推进
推进 企业
企业 健全
企业 现代
健全 现代
健全 企业
现代 企业
现代 制度
企业 制度
企业 提高
制度 提高
领域 培育
突出 市场
企业 集团
企业 增强
集团 增强
集团 供销
增强 供销
增强 合作社
供销 合作社
补贴 设施
政府 村里
统筹 城乡
统筹 工业
城乡 工业
城市 支持
政策 进一步
政策 完善
进一步 完善
安排 亿元
安排 增长
亿元 增长
增长 政策
建立 时期
政策 体系
基础 扶持
基础 力度
扶持 力度
扶持 加大
力度 加大
国务院 出台
更 明确
更 更
明确 更
明确 直接
更 直接
更 更
直接 更
惠农 促进
稳定 今年
今年 累计
今年 安排
累计 安排
累计 粮食
安排 粮食
粮食 农资
农资 综合
农资 补贴
综合 补贴
补贴 补贴
补贴 补贴
补贴 亿元
亿元 亿元
亿元 进一步
种粮 积极性
种粮 优质
积极性 优质
积极性 粮食
优质 粮食
优质 产业
粮食 产业
粮食 工程
产业 工程
基础设施 政策
粮食 实现
实现 经济
基础 基础设施
人口 安全
试点 城市
试点 公共服务
城市 公共服务
我国 基础
需要 加强
需要 扶持
扶持 增收
需要 加快
政策 体系
进一步 推动
进一步 完善
推动 完善
完善 中央
中央 经济
经济 会议
会议 精神
精神 完善
政策 增加
政策 涉农
增加 涉农
增加 补贴
涉农 补贴
涉农 规模
补贴 规模
补贴 完善
规模 完善
完善 补贴
补贴 价格
价格 支持
价格 力度
支持 力度
支持 提高
力度 提高
力度 主要
提高 主要
提高 粮食
主要 粮食
主要 品种
粮食 品种
继续 实行
继续 粮食
实行 粮食
粮食 政策
直接 发放
继续 扩大
扩大 补贴
补贴 规模
规模 提高
提高 小麦
小麦 品种
补贴 资金
补贴 规模
资金 规模
规模 扩大
扩大 补贴
继续 加大
支持 力度
中 突出
粮食 连续
连续 增产
增产 基础
基础 今年
今年 历史
历史 连续
连续 稳定
近年来 中央
近年来 统筹
中央 统筹
中央 城乡
统筹 城乡
增长 稳定
支撑 进一步
进一步 保持
进一步 经济
保持 经济
基础 国家
基础 扶持
国家 扶持
国家 政策
扶持 政策
种粮 积极性
农机 合作社
增收 农机
农机 补贴
去年 增加
文件 连续
连续 增产
近年来 中央
政策 连续
政策 稳定
连续 稳定
稳定 持续
种粮 政府
政府 抓
积极性 今年
我国 经济
困难 一年
国际 经济
经济 中央
中央 继续
稳定 粮食
投资 中
投资 加大
中 加大
力度 安排
工程 标准
投资 亿元
中央 经济
经济 会议
会议 中央
会议 强调
增长 结构
结构 中
结构 突出
中 突出
中 加强
突出 加强
加强 基础
基础 保障
保障 作用
作用 中央
中央 文件
加强 基础
基础 支农
支农 资金
支农 亿元
资金 亿元
增长 粮食
粮食 农资
农资 综合
农资 补贴
综合 补贴
补贴 补贴
补贴 达
补贴 亿元
达 亿元
达 增长
亿元 增长
亿元 中央
增长 中央
地区 积极
积极 国家
国家 粮食安全
国家 粮食安全
规划 进一步
进一步 稳定
稳定 粮食
政策 环境
政策 各地
环境 各地
环境 出台
各地 出台
加大 粮食
投入 粮食
投入 收购
粮食 收购
水平 今年
水平 国家
今年 国家
小麦 小麦
国家 扩大
政策 实施
政策 品种
实施 品种
品种 范围
范围 完善
政策 措施
有效 稳定
各地 落实
落实 推动
推动 粮食
粮食 稳定
今年 粮食
今年 种植
粮食 种植
粮食 面积
种植 面积
增加 万亩
万亩 近年来
近年来 增加
一年 粮食
提高 有效
提高 带动
有效 带动
有效 农民收入
带动 农民收入
农民收入 增加
人均 收入
收入 实际
收入 增长
实际 增长
乡 村
产量 达到
去年 增产
增产 产量
水平 粮食
水平 实现
粮食 实现
政策 推动
科技 探索
示范 技术
技术 力量
力量 带动
力量 粮食
带动 粮食
范围 增产
增产 农业部
农业部 万亩
各地 整合
各地 资金
整合 资金
各地 培育
能力 带动
带动 作用
农户 技术
水平 科技
水平 创新
科技 创新
推广 改革
形成 近年来
现代 技术
技术 体系
体系 推广
推广 品种
品种 技术
技术 粮食
技术 品种
粮食 品种
品种 优质
得到 农业部
实施 水稻
实施 玉米
水稻 玉米
水稻 小麦
玉米 小麦
产业 技术
产业 体系
技术 体系
方面 科技
方面 力量
科技 力量
力量 科技
科技 资源
科技 重点
资源 重点
资源 解决
重点 解决
解决 中
中 突出
突出 技术
促进 粮食
满足 科技
科技 需求
科技 全面
需求 全面
需求 提升
全面 提升
全面 基层
提升 基层
基层 推广
推广 体系
体系 公共服务
公共服务 能力
全国 农机
农机 动力
动力 达
增长 全国
综合 水平
补贴 亿元
补贴 支持
亿元 支持
农业部 提出
提出 指导
科学 技术
技术 各地
各地 指导
指导 科学
国家 保持
国家 经济
保持 经济
看到 中央
中央 改善
改善 加强
加强 中
我国 基础
粮食安全 必须
必须 提升
提升 粮食
提升 综合
粮食 综合
中 突出
粮食 连续
连续 增产
增产 基础
基础 今年
今年 历史
历史 连续
连续 稳定
近年来 中央
近年来 统筹
中央 统筹
中央 城乡
统筹 城乡
增长 稳定
支撑 进一步
进一步 保持
进一步 经济
保持 经济
国际 中央
中央 支农
中央 政策
支农 政策
政策 强化
强化 稳定
强化 粮食
稳定 粮食
粮食 形成
形成 国家
国家 扶持
国家 政策
扶持 政策
种粮 积极性
农机 合作社
增收 农机
农机 补贴
去年 增加
文件 连续
连续 增产
近年来 中央
政策 连续
政策 稳定
连续 稳定
稳定 持续
种粮 政府
政府 抓
积极性 今年
我国 经济
困难 一年
国际 经济
经济 中央
中央 继续
稳定 粮食
投资 中
投资 加大
中 加大
力度 安排
工程 标准
投资 亿元
中央 经济
经济 会议
会议 中央
会议 强调
增长 结构
结构 中
结构 突出
中 突出
中 加强
突出 加强
加强 基础
基础 保障
保障 作用
作用 中央
中央 文件
加强 基础
基础 支农
支农 资金
支农 亿元
资金 亿元
增长 粮食
粮食 农资
农资 综合
农资 补贴
综合 补贴
补贴 补贴
补贴 达
补贴 亿元
达 亿元
达 增长
亿元 增长
亿元 中央
增长 中央
地区 积极
积极 国家
国家 粮食安全
国家 粮食安全
规划 进一步
进一步 稳定
稳定 粮食
政策 环境
政策 各地
环境 各地
环境 出台
各地 出台
加大 粮食
投入 粮食
投入 收购
粮食 收购
水平 今年
水平 国家
今年 国家
小麦 小麦
国家 扩大
政策 实施
政策 品种
实施 品种
品种 范围
范围 完善
政策 措施
有效 稳定
各地 落实
落实 推动
推动 粮食
粮食 稳定
今年 粮食
今年 种植
粮食 种植
粮食 面积
种植 面积
增加 万亩
万亩 近年来
近年来 增加
一年 粮食
提高 有效
提高 带动
有效 带动
有效 农民收入
带动 农民收入
农民收入 增加
人均 收入
收入 实际
收入 增长
实际 增长
实际 粮食
增长 粮食
粮食 探索
探索 方式
方式 科技
乡 村
产量 达到
去年 增产
增产 产量
水平 粮食
水平 实现
粮食 实现
政策 推动
科技 探索
示范 技术
技术 力量
力量 带动
力量 粮食
带动 粮食
范围 增产
增产 农业部
农业部 万亩
各地 整合
各地 资金
整合 资金
各地 培育
能力 带动
带动 作用
农户 技术
水平 科技
水平 创新
科技 创新
推广 改革
形成 近年来
现代 技术
技术 体系
体系 推广
推广 品种
品种 技术
技术 粮食
技术 品种
粮食 品种
品种 优质
得到 农业部
实施 水稻
实施 玉米
水稻 玉米
水稻 小麦
玉米 小麦
产业 技术
产业 体系
技术 体系
方面 科技
方面 力量
科技 力量
力量 科技
科技 资源
科技 重点
资源 重点
资源 解决
重点 解决
解决 中
中 突出
突出 技术
促进 粮食
满足 科技
科技 需求
科技 全面
需求 全面
需求 提升
全面 提升
全面 基层
提升 基层
基层 推广
推广 体系
体系 公共服务
公共服务 能力
全国 农机
农机 动力
动力 达
增长 全国
综合 水平
补贴 亿元
补贴 支持
亿元 支持
农业部 提出
提出 指导
科学 技术
技术 各地
各地 指导
指导 科学
国家 保持
国家 经济
保持 经济
看到 中央
中央 改善
改善 加强
加强 中
我国 基础
粮食安全 必须
必须 提升
提升 粮食
提升 综合
粮食 综合
镇 村
村 村民
镇 保险
信贷 保险
保险 风险
种植 保险
政府 集体
政府 集体
保险 项目
保险 基本
项目 基本
风险 保障
保障 满足
满足 当前
生活 中
保险 需求
镇 保险
保险 建立
保险 镇
政府 引导
引导 提高
提高 保险
达 覆盖
我国 经济
困难 一年
水平 提高
推进 城乡
推进 基本
城乡 基本
城乡 公共服务
基本 公共服务
近年来 围绕
近年来 城乡
围绕 城乡
围绕 基本
城乡 基本
城乡 公共服务
基本 公共服务
公共服务 中央
中央 集中
基本 公共服务
基本 项目
公共服务 项目
项目 教育
改善 国际
时 我国
时 经济
我国 经济
生活 更
更 保障
持续 动力
动力 去年
去年 中央
中央 亿元
亿元 投资
投资 中
中 亿元
基础设施 亿元
亿元 基层
教育 文化
教育 社会
文化 社会
文化 事业
社会 事业
事业 项目
项目 中央
投资 中
基础设施 亿元
事业 亿元
投资 直接
投入 保障
保障 提高
家庭 经济
家庭 困难
经济 困难
标准 扩大
范围 提高
农民工 开展
开展 培训
培训 创业
创业 培训
中央 保障
保障 改善
镇 村民
村民 特别
就业 国际
各级 政府
政府 健全
健全 就业
引导 农民工
加强 农民工
农民工 培训
增长 政策
投资 项目
投资 大量
项目 大量
项目 增加
大量 增加
增加 设施
提供 大量
全国 就业
就业 农民工
农民工 达到
收入 提高
生活 今年
今年 全国
社会 试点
试点 基础
过去 很多
过去 地区
很多 地区
试点 今年
今年 中央
今年 投入
中央 投入
中央 亿元
投入 亿元
投入 资金
亿元 资金
亿元 扩大
资金 扩大
资金 试点
扩大 试点
扩大 范围
试点 范围
范围 改善
生活 条件
我国 推进
一年 我国
一年 扶贫
我国 扶贫
我国 标准
扶贫 标准
扶贫 提高
标准 提高
提高 人均
人口 扶贫
扶贫 政策
全面 建立
全面 扶贫
建立 扶贫
扶贫 进入
进入 开发
阶段 国家
下乡 下乡
下乡 全国
全国 范围
范围 开展
直接 补贴
下乡 销售
基本 覆盖
覆盖 全国
示范 村里
人民 群众
群众 更
保障 改善
改善 提出
中央 经济
经济 会议
更加 改善
改善 加大
领域 社会
社会 事业
事业 支持
支持 保障
支持 力度
保障 力度
时间 提高
中心 乡镇
乡镇 得到
基本 实现
贫困地区 人均
看到 当前
看到 我国
当前 我国
没有 根本
根本 改善
全面 小康社会
小康社会 重点
重点 任务
需要 完善
完善 各项
各项 建立
加强 社会
社会 事业
相关 政策
政策 措施
中央 经济
经济 会议
主要 任务
任务 努力
努力 方向
努力 会议
方向 会议
方向 精神
会议 精神
精神 农村基层
专家 中央
中央 经济
经济 会议
会议 精神
政策 进行
我国 经济
困难 一年
水平 提高
推进 城乡
推进 基本
城乡 基本
城乡 公共服务
基本 公共服务
近年来 围绕
近年来 城乡
围绕 城乡
围绕 基本
城乡 基本
城乡 公共服务
基本 公共服务
公共服务 中央
中央 集中
基本 公共服务
基本 项目
公共服务 项目
项目 教育
改善 国际
时 我国
时 经济
我国 经济
生活 更
更 保障
持续 动力
动力 去年
去年 中央
中央 亿元
亿元 投资
投资 中
中 亿元
基础设施 亿元
亿元 基层
教育 文化
教育 社会
文化 社会
文化 事业
社会 事业
事业 项目
项目 中央
投资 中
基础设施 亿元
事业 亿元
投资 直接
投入 保障
保障 提高
家庭 经济
家庭 困难
经济 困难
标准 扩大
范围 提高
农民工 开展
开展 培训
培训 创业
创业 培训
中央 保障
保障 改善
镇 村民
村民 特别
就业 国际
各级 政府
政府 健全
健全 就业
引导 农民工
加强 农民工
农民工 培训
增长 政策
投资 项目
投资 大量
项目 大量
项目 增加
大量 增加
增加 设施
提供 大量
全国 就业
就业 农民工
农民工 达到
收入 提高
生活 今年
今年 全国
社会 试点
试点 基础
过去 很多
过去 地区
很多 地区
试点 今年
今年 中央
今年 投入
中央 投入
中央 亿元
投入 亿元
投入 资金
亿元 资金
亿元 扩大
资金 扩大
资金 试点
扩大 试点
扩大 范围
试点 范围
范围 改善
生活 条件
我国 推进
一年 我国
一年 扶贫
我国 扶贫
我国 标准
扶贫 标准
扶贫 提高
标准 提高
提高 人均
人口 扶贫
扶贫 政策
全面 建立
全面 扶贫
建立 扶贫
扶贫 进入
进入 开发
阶段 国家
下乡 下乡
下乡 全国
全国 范围
范围 开展
直接 补贴
下乡 销售
基本 覆盖
覆盖 全国
示范 村里
人民 群众
群众 更
保障 改善
改善 提出
中央 经济
经济 会议
更加 改善
改善 加大
领域 社会
社会 事业
事业 支持
支持 保障
支持 力度
保障 力度
时间 提高
中心 乡镇
乡镇 得到
基本 实现
贫困地区 人均
看到 当前
看到 我国
当前 我国
没有 根本
根本 改善
全面 小康社会
小康社会 重点
重点 任务
需要 完善
完善 各项
各项 建立
加强 社会
社会 事业
相关 政策
政策 措施
本报 北京
网络 中心
创新 乡镇
乡镇 中国
中国 特色
品牌 企业
品牌 中国
企业 中国
社会 企业
进行 系统
企业 进行
企业 综合
进行 综合
参与 保证
标准 今年
得到 全国
经济 机构
机构 支持
特别 新型
经济 中
县域 经济
中 新型
新型 企业
