新华社 北京
取得 成绩
重大 成绩
重大 年
成绩 年
成绩 全国
年 全国
年 粮食
全国 粮食
全国 总产
粮食 总产
粮食 超过
总产 超过
总产 亿斤
超过 亿斤
超过 达到
亿斤 达到
亿斤 亿斤
达到 亿斤
达到 连续
亿斤 连续
亿斤 年
连续 年
连续 实现
年 实现
年 粮食
实现 粮食
实现 面积
粮食 面积
粮食 总产
面积 总产
面积 单产
总产 单产
总产 同步
单产 同步
新 中国
新 农业
中国 农业
农民 持续
农民 增收
持续 增收
持续 取得
增收 取得
增收 重大
取得 重大
取得 成效
重大 成效
重大 年
成效 年
成效 全国
年 全国
年 农民
全国 农民
全国 人均
农民 人均
农民 纯收入
人均 纯收入
人均 突破
纯收入 突破
突破 达到
达到 连续
连续 年
连续 实现
年 实现
年 农民收入
实现 农民收入
实现 增速
农民收入 增速
农民收入 超过
增速 超过
增速 年
超过 年
超过 增幅
年 增幅
年 达到
增幅 达到
增幅 增幅
达到 增幅
达到 超过
增幅 超过
新 中国
新 农村
中国 农村
农民 增收
农民 渠道
增收 渠道
渠道 多元化
多元化 工资
工资 收入
收入 成为
收入 农民
成为 农民
成为 增收
农民 增收
来源 农民
来源 增收
农民 增收
粮食 主产区
粮食 农民收入
主产区 农民收入
主产区 增速
农民收入 增速
农民收入 高于
增速 高于
增速 全国
高于 全国
高于 平均水平
全国 平均水平
采访 本报记者
本报记者 朱隽
中央 一号
中央 文件
一号 文件
投入 增量
投入 确保
增量 确保
确保 高于
高于 明显
明显 高于
明显 年
高于 年
高于 财政
年 财政
年 支农
财政 支农
财政 投入
支农 投入
投入 增量
增量 明显
明显 高于
明显 上年
高于 上年
高于 国家
上年 国家
国家 投资
投资 用于
投资 农村
用于 农村
农村 增量
增量 明显
明显 高于
明显 上年
高于 上年
上年 收入
收入 用于
收入 农村
用于 农村
用于 建设
农村 建设
建设 增量
增量 明显
明显 高于
明显 上年
高于 上年
上年 文件
文件 强调
强调 高于
明显 高于
明显 上年
高于 上年
去年 中央
去年 一号
中央 一号
中央 文件
一号 文件
继续 高于
继续 上年
高于 上年
高于 程度
上年 程度
程度 明显
明显 不同
渠道 农业
农业 农村
农村 资金
资金 增量
表明 党中央
党中央 国务院
国务院 三农
三农 工作
工作 高度重视
高度重视 表明
经济 平稳
经济 快速
平稳 快速
平稳 发展
快速 发展
快速 我国
发展 我国
经济 实力
实力 增强
增强 基本
增强 具备
基本 具备
具备 加强
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
基础 加快
建设 加快
建设 农业
加快 农业
农业 农村
农村 发展
发展 条件
条件 今年
条件 三农
今年 三农
今年 投入
三农 投入
投入 重点
重点 关注
重点 以下
关注 以下
关注 领域
以下 领域
领域 加强
加强 农业
加强 基础设施
农业 基础设施
农业 建设
基础设施 建设
小型 水利建设
水库 治理
治理 加强
加强 农业
农业 技术
技术 流通
流通 加工
流通 领域
加工 领域
领域 服务
服务 当前
当前 市场
市场 状况
状况 价格
价格 波动
波动 状况
状况 农民
经营 给予
经营 更
给予 更
补贴 第三
补贴 加强
第三 加强
第三 农村
加强 农村
生产 生活
基础设施 建设
建设 加强
加强 政府
政府 农村
农村 公共服务
公共服务 加强
加强 农村
加强 义务教育
农村 义务教育
农村 增加
义务教育 增加
增加 新型农村
新型农村 合作医疗
新型农村 制度
合作医疗 制度
制度 补贴
补贴 进一步
补贴 加大
进一步 加大
加大 农村
农村 最低
农村 生活
最低 生活
最低 保障制度
生活 保障制度
保障制度 转移
转移 支付
转移 投入
支付 投入
支付 方向
投入 方向
投入 实现
方向 实现
实现 调整
调整 农田水利
农田水利 耕地
新增 收入
新增 主要
收入 主要
收入 用于
主要 用于
主要 三农
用于 三农
用于 重点
三农 重点
三农 加强
重点 加强
重点 农田水利
加强 农田水利
加强 农业
农田水利 农业
农田水利 综合
农业 综合
农业 开发
综合 开发
开发 农村
农村 基础设施
农村 建设
基础设施 建设
建设 落实
落实 部分
部分 收入
收入 用于
收入 农业
用于 农业
用于 土地
农业 土地
农业 开发
土地 开发
土地 政策
开发 政策
开发 中
政策 中
政策 部分
中 部分
中 地区
部分 地区
部分 存在
地区 存在
地区 没有
存在 没有
没有 比例
及时 使用
使用 及时
及时 管理
管理 规范
规范 问题
问题 特别
农业 土地
农业 开发
土地 开发
土地 资金
开发 资金
及时 用于
及时 农业
用于 农业
用于 土地
农业 土地
农业 开发
土地 开发
问题 各地
部门 继续
继续 加大
加大 用于
用于 农业
用于 土地
农业 土地
农业 开发
土地 开发
土地 专项资金
开发 专项资金
专项资金 工作
工作 监督
监督 检查
监督 确保
检查 确保
检查 农业
确保 农业
确保 土地
农业 土地
农业 开发
土地 开发
土地 专项资金
开发 专项资金
重点 加大
加大 农业
农业 土地
农业 开发
土地 开发
土地 专项资金
开发 专项资金
开发 使用
专项资金 使用
使用 监督
监督 检查
监督 进一步
检查 进一步
检查 健全
进一步 健全
进一步 完善
健全 完善
健全 相关
完善 相关
完善 配套
相关 配套
相关 制度
配套 制度
制度 办法
办法 确保
办法 及时
确保 及时
确保 合理
及时 合理
及时 有效
合理 有效
有效 使用
使用 围绕
使用 耕地
围绕 耕地
围绕 保护
耕地 保护
耕地 目标
保护 目标
保护 建设
保护 开展
建设 开展
建设 土地
开展 土地
开展 开发
土地 开发
土地 整理
开发 整理
开发 土地
整理 土地
整理 开发
土地 开发
土地 整理
开发 整理
开发 专项资金
整理 专项资金
整理 主要
专项资金 主要
专项资金 用于
主要 用于
主要 高标准
用于 高标准
高标准 建设
完善 城市
完善 维护
城市 维护
城市 建设
维护 建设
建设 政策
政策 各地
各地 安排
安排 城市
城市 维护
城市 建设
维护 建设
维护 支出
建设 支出
支出 确定
确定 部分
确定 资金
部分 资金
部分 用于
资金 用于
用于 基础设施
基础设施 建设
建设 维护
维护 完善
维护 农村
完善 农村
完善 基础设施
农村 基础设施
基础设施 加强
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
内容 推进
推进 社会主义
推进 新
社会主义 新
社会主义 农村
新 农村
新 建设
农村 建设
建设 重大
重大 举措
重大 今年
举措 今年
举措 文件
今年 文件
今年 提出
文件 提出
提出 城市
城市 维护
城市 建设
维护 建设
建设 政策
政策 完善
统筹 城乡
统筹 维护
城乡 维护
城乡 建设
维护 建设
维护 资金
建设 资金
建设 使用
资金 使用
资金 建立
使用 建立
使用 稳定
建立 稳定
稳定 农村
农村 基础设施
农村 建设
基础设施 建设
建设 维护
维护 资金
维护 渠道
资金 渠道
资金 引导
渠道 引导
渠道 更
引导 更
社会 资金
资金 农村
农村 基础设施
农村 建设
基础设施 建设
基础设施 各地
建设 各地
建设 城市
各地 城市
各地 维护
城市 维护
城市 建设
维护 建设
维护 资金
建设 资金
资金 支出
支出 确定
确定 部分
确定 比例
部分 比例
部分 专门
比例 专门
比例 用于
专门 用于
基础设施 建设
建设 维护
维护 安排
安排 城市
城市 维护
城市 建设
维护 建设
建设 支出
农村 地区
农村 倾斜
地区 倾斜
倾斜 安排
安排 专门
安排 资金
专门 资金
专门 用于
资金 用于
制定 安排
安排 专门
安排 资金
专门 资金
专门 支持
资金 支持
资金 基础设施
支持 基础设施
支持 建设
基础设施 建设
建设 维护
维护 努力
维护 构建
努力 构建
努力 农村
构建 农村
构建 基础设施
农村 基础设施
农村 建设
基础设施 建设
建设 维护
维护 长效机制
长效机制 扶贫开发
扶贫开发 年
年 国家
国家 国家
国家 扶贫开发
国家 工作
扶贫开发 工作
扶贫开发 重点县
工作 重点县
工作 新
重点县 新
重点县 安排
新 安排
项目 不同
不同 情况
情况 减少
减少 取消
取消 县
县 以下
县 配套
以下 配套
配套 我国
我国 国家
国家 扶贫开发
国家 工作
扶贫开发 工作
扶贫开发 重点县
工作 重点县
重点县 财力
建设项目 配套
建设项目 资金
配套 资金
资金 到位
到位 影响
到位 项目
影响 项目
影响 实施
项目 实施
实施 问题
问题 十分
问题 突出
十分 突出
中央 支农
中央 投资
支农 投资
支农 总量
投资 总量
总量 十分
十分 有限
取消 贫困地区
取消 涉农
贫困地区 涉农
贫困地区 建设项目
涉农 建设项目
建设项目 地方
地方 配套
地方 规定
配套 规定
规定 现实
现实 今年
今年 文件
今年 确定
文件 确定
生态 建设项目
不同 情况
情况 减少
减少 取消
取消 国家
取消 扶贫开发
国家 扶贫开发
国家 工作
扶贫开发 工作
扶贫开发 重点县
工作 重点县
重点县 县
县 县
县 以下
县 配套
以下 配套
配套 水库
近年来 中央
近年来 投资
中央 投资
中央 重点
投资 重点
投资 支持
重点 支持
支持 农业
农业 基础
农业 建设项目
基础 建设项目
建设项目 地方
地方 投资
投资 项目
项目 省
省 各级
省 政府
各级 政府
各级 负责
政府 负责
政府 落实
负责 落实
落实 没有
县 以下
以下 投资
投资 配套
投资 比例
配套 比例
比例 今年
今年 文件
今年 要求
文件 要求
文件 今后
要求 今后
要求 国家
今后 国家
国家 明确
明确 提高
提高 省级
提高 配套
省级 配套
省级 投资
配套 投资
投资 比例
减少 取消
取消 县
县 以下
以下 配套
近年来 我国
近年来 支农
我国 支农
我国 投资
支农 投资
投资 重点
重点 领域
文件 要求
文件 国家
要求 国家
国家 决定
决定 年
年 提高
工程 中央
中央 补助
中央 投资
补助 投资
补助 标准
投资 标准
标准 人工
每亩 补助
每亩 标准
补助 标准
标准 提高
工程 补助
工程 标准
补助 标准
标准 提高
本报记者 记者
记者 今年
记者 中央
今年 中央
今年 一号
中央 一号
中央 文件
一号 文件
文件 财政
财政 支农
财政 投入
支农 投入
投入 提出
明显 高于
明显 中央
高于 中央
高于 支农
中央 支农
中央 政策
支农 政策
政策 进一步
进一步 提升
提升 财政部
财政部 采取
采取 措施
措施 贯彻落实
贯彻落实 一号
今年 中央
今年 一号
中央 一号
中央 文件
一号 文件
文件 要求
要求 中央财政
中央财政 积极
积极 调整
调整 结构
结构 确保
结构 财政
确保 财政
确保 支农
财政 支农
财政 资金
支农 资金
资金 年
年 中央财政
中央财政 进一步
进一步 加大
加大 三农
三农 投入
投入 力度
投入 投入
力度 投入
力度 规模
投入 规模
年 增加
年 亿元
增加 亿元
亿元 增加
超过 投入
投入 总量
总量 增量
总量 增幅
增量 增幅
近几年 最大
中央财政 进一步
进一步 增强
进一步 财政
增强 财政
增强 支农
财政 支农
财政 投入
支农 投入
投入 针对性
做到 重点
重点 产区
重点 倾斜
产区 倾斜
倾斜 提高
提高 生产能力
提高 倾斜
生产能力 倾斜
倾斜 民生
民生 倾斜
民生 切实加强
倾斜 切实加强
倾斜 农业
切实加强 农业
切实加强 基础
农业 基础
农业 建设
基础 建设
基础 进一步
建设 进一步
建设 促进
进一步 促进
进一步 农业
促进 农业
促进 发展
农业 发展
发展 农民
农民 增收
农民 今年
增收 今年
增收 中央财政
今年 中央财政
方面 给予
方面 重点
给予 重点
给予 支持
重点 支持
支持 大幅度
大幅度 增加
大幅度 粮食
增加 粮食
增加 直补
粮食 直补
粮食 良种
直补 良种
直补 补贴
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
购置 农资
补贴 农资
补贴 综合
农资 综合
农资 直补
综合 直补
直补 补贴
补贴 资金
补贴 完善
资金 完善
资金 产粮
完善 产粮
产粮 县
县 奖励
县 政策
奖励 政策
政策 粮食
粮食 最低
粮食 收购价
最低 收购价
最低 政策
收购价 政策
收购价 积极
政策 积极
政策 推动
积极 推动
积极 现代农业
推动 现代农业
推动 发展
现代农业 发展
现代农业 切实
发展 切实
发展 保障
切实 保障
切实 主要
保障 主要
保障 农产品
主要 农产品
农产品 有效
有效 供应
支持 改善
支持 农村
改善 农村
改善 生产
农村 生产
农村 生活
生产 生活
生产 条件
生活 条件
生活 加快
条件 加快
工程建设 农田水利
工程建设 建设
农田水利 建设
建设 重大
重大 林业
重大 工程建设
林业 工程建设
林业 提高
工程建设 提高
工程建设 农业
提高 农业
提高 综合
农业 综合
农业 开发
综合 开发
综合 能力
开发 能力
能力 大力支持
大力支持 农村
大力支持 义务教育
农村 义务教育
农村 农村
义务教育 农村
义务教育 医疗卫生
农村 医疗卫生
农村 农村
医疗卫生 农村
医疗卫生 文化
农村 文化
文化 农村
农村 社会保障
社会保障 事业
事业 发展
事业 促进
发展 促进
发展 城乡
促进 城乡
促进 基本
城乡 基本
城乡 公共服务
基本 公共服务
基本 均等化
公共服务 均等化
均等化 支持
扶贫开发 重点
扶贫开发 支持
重点 支持
重点 提高
支持 提高
能力 建设
能力 提高
建设 提高
建设 扶贫开发
提高 扶贫开发
提高 成效
扶贫开发 成效
成效 支持
支持 推进
支持 乡镇
推进 乡镇
推进 机构
乡镇 机构
乡镇 农村
机构 农村
机构 义务教育
农村 义务教育
农村 县乡
义务教育 县乡
县乡 体制
体制 集体
集体 林权
集体 制度
林权 制度
林权 改革
制度 改革
制度 推动
改革 推动
推动 化解
化解 农村
化解 义务教育
农村 义务教育
村级 建设
奖补 减轻
减轻 农民
农民 负担
负担 综合
负担 改革
综合 改革
试点工作 记者
展开 今年
今年 中央财政
今年 采取
中央财政 采取
措施 支持
今年 中央财政
支农 项目
特点 尽快
尽快 支农
支农 资金
支农 充分发挥
资金 充分发挥
财政 支农
财政 资金
支农 资金
资金 效益
重大 支农
重大 专项资金
支农 专项资金
支农 特别
专项资金 特别
特别 提高
提高 粮食
粮食 主要
主要 农产品
主要 生产能力
农产品 生产能力
生产能力 专项资金
做到 方案
方案 早
早 指标
指标 早
指标 发挥
早 发挥
早 效益
发挥 效益
效益 大幅度
大幅度 增加
大幅度 三农
增加 三农
增加 投入
三农 投入
不断创新 财政
不断创新 支农
财政 支农
财政 机制
支农 机制
支农 体制
机制 体制
机制 切实加强
体制 切实加强
体制 支农
切实加强 支农
切实加强 资金
支农 资金
支农 管理
资金 管理
资金 提高
管理 提高
管理 资金
提高 资金
提高 使用
资金 使用
资金 效益
使用 效益
粮食 直补
粮食 农资
直补 农资
直补 综合
农资 综合
农资 直补
综合 直补
综合 资金
直补 资金
直补 亿元
资金 亿元
亿元 中央财政
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
施肥 专项资金
专项资金 亿元
亿元 农业
农业 资金
资金 亿元
资金 支持
亿元 支持
亿元 各地
支持 各地
支持 开展
各地 开展
各地 春耕
开展 春耕
开展 备耕
春耕 备耕
备耕 农业
农业 恢复
恢复 记者
记者 年
年 中央
中央 连续
中央 发布
连续 发布
三农 一号
一号 文件
文件 过去
过去 财政
财政 支农
财政 取得
支农 取得
成效 年
年 中央财政
年 用于
中央财政 用于
中央财政 三农
用于 三农
三农 投入
投入 超过
超过 亿元
超过 达到
亿元 达到
亿元 亿元
达到 亿元
达到 年
亿元 年
亿元 达到
年 达到
年 亿元
达到 亿元
亿元 增加
增加 亿元
亿元 增长
增长 数字
数字 增长
增长 背后
背后 体现
体现 党中央
党中央 国务院
国务院 三农
三农 工作
工作 高度重视
高度重视 年
中央财政 用于
中央财政 三农
用于 三农
三农 资金投入
资金投入 累计
资金投入 达到
累计 达到
支农 投入
支农 力度
投入 力度
力度 加大
投入 政策
投入 更加
政策 更加
政策 完善
更加 完善
更加 投入
完善 投入
完善 机制
投入 机制
投入 更加
机制 更加
更加 投入
投入 重点
投入 更加
重点 更加
重点 突出
更加 突出
更加 效果
突出 效果
突出 更加
效果 更加
效果 显著
更加 显著
中央财政 陆续
中央财政 出台
陆续 出台
出台 粮食
粮食 直补
粮食 良种
直补 良种
直补 补贴
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
购置 农资
补贴 农资
补贴 综合
农资 综合
农资 直补
综合 直补
直补 惠农
惠农 补贴
惠农 政策
补贴 政策
政策 农民
农民 直接
农民 受益
直接 受益
受益 程度
程度 大幅度提高
大幅度提高 中央财政
中央财政 安排
补贴 资金
资金 达到
达到 亿元
达到 年
亿元 年
亿元 中央
年 中央
中央 安排
安排 农村税费
安排 改革
农村税费 改革
改革 农村
农村 综合
农村 改革
综合 改革
改革 转移
转移 支付
转移 资金
支付 资金
资金 主要
主要 用于
主要 支持
用于 支持
用于 地方
支持 地方
支持 做好
地方 做好
地方 农村税费
做好 农村税费
做好 改革
农村税费 改革
农村税费 试点
改革 试点
改革 取消
试点 取消
农业 国有
国有 农场
国有 税费
农场 税费
农场 改革
税费 改革
税费 减轻
改革 减轻
农民负担 化解
化解 农村
化解 义务教育
农村 义务教育
过去 中央财政
中央财政 投入
投入 领域
领域 注重
注重 农业
注重 生产
农业 生产
农业 环节
生产 环节
环节 转向
转向 农业
转向 生产
农业 生产
农业 农村
生产 农村
生产 社会
农村 社会
农村 事业
社会 事业
社会 发展
事业 发展
事业 并重
发展 并重
并重 公共财政
公共财政 覆盖
公共财政 农村
覆盖 农村
农村 范围
范围 年
年 取消
取消 农业税
取消 中央
农业税 中央
中央 三农
三农 方针
方针 少取
少取 放活
少取 转变
放活 转变
转变 基本
放活 并重
并重 出台
出台 强化
政策 建立
乡 稳定
稳定 反哺
反哺 农业投入
反哺 机制
农业投入 机制
农业投入 推动
机制 推动
机制 城乡
推动 城乡
推动 协调
城乡 协调
城乡 发展
协调 发展
中央财政 重点
重点 推进
重点 农村税费
推进 农村税费
推进 改革
农村税费 改革
农村税费 支持
改革 支持
改革 提高
支持 提高
支持 农业
提高 农业
提高 综合
农业 综合
农业 生产能力
综合 生产能力
综合 加大
生产能力 加大
生产能力 农民
加大 农民
加大 直接
农民 直接
农民 补贴
直接 补贴
直接 力度
补贴 力度
财政投入 更
基层 倾斜
倾斜 社会
社会 事业
社会 倾斜
事业 倾斜
倾斜 中西部
中西部 地区
中西部 倾斜
地区 倾斜
倾斜 困难
困难 群体
困难 倾斜
群体 倾斜
群体 有力
倾斜 有力
有力 支持
支持 农村
农村 义务教育
农村 农村
义务教育 农村
义务教育 医疗卫生
农村 医疗卫生
农村 农村
医疗卫生 农村
医疗卫生 社会保障
农村 社会保障
农村 农村
社会保障 农村
社会保障 文化
农村 文化
农村 事业
文化 事业
事业 社会
社会 事业
社会 发展
事业 发展
城乡居民 共
共 公共财政
公共财政 阳光
公共财政 共享
阳光 共享
阳光 改革
共享 改革
共享 发展
改革 发展
改革 成果
发展 成果
发展 统计
成果 统计
成果 显示
统计 显示
统计 年
显示 年
显示 中央财政
年 中央财政
年 用于
中央财政 用于
中央财政 农村
用于 农村
用于 义务教育
农村 义务教育
农村 科学
义务教育 科学
科学 文化
文化 投入
投入 超过
投入 亿元
超过 亿元
超过 年均
亿元 年均
亿元 增长
年均 增长
中央财政 安排
安排 新型农村
安排 合作医疗
新型农村 合作医疗
新型农村 补助
合作医疗 补助
合作医疗 资金
补助 资金
补助 亿元
资金 亿元
资金 推进
亿元 推进
亿元 新型农村
推进 新型农村
推进 合作医疗
新型农村 合作医疗
新型农村 制度
合作医疗 制度
合作医疗 建设
制度 建设
年 安排
年 亿元
安排 亿元
安排 资金
亿元 资金
地区 给予
地区 补助
给予 补助
给予 推动
补助 推动
补助 农村
推动 农村
推动 建立
农村 建立
农村 最低
建立 最低
建立 生活
最低 生活
最低 保障制度
生活 保障制度
生活 记者
保障制度 记者
保障制度 今年
记者 今年
天气 我国
我国 地区
地区 农业
农业 生产
农业 造成
生产 造成
造成 中央财政
中央财政 支持
支持 南方
扶持 政策
党中央 国务院
国务院 部署
加大 支持
支持 力度
支持 确保
力度 确保
力度 各项
确保 各项
各项 资金
资金 及时
资金 安排
及时 安排
安排 到位
到位 出台
税费 减免
税费 政策
减免 政策
减免 多渠道
政策 多渠道
政策 支持
多渠道 支持
突出 支持
突出 重点
支持 重点
重点 原则
原则 重点
原则 支持
重点 支持
重点 各地
支持 各地
支持 恢复
各地 恢复
各地 农业
恢复 农业
恢复 生产
农业 生产
生产 基础设施
基础设施 安排
群众 生活
安排 资金
综合 安排
综合 资金
安排 资金
安排 继续
资金 继续
资金 做好
继续 做好
做好 群众
群众 生活
群众 安排
生活 安排
安排 市场
市场 保障
保障 支持
保障 恢复
支持 恢复
支持 农业
恢复 农业
恢复 生产
农业 生产
农业 支持
生产 支持
支持 电网
支持 交通
电网 交通
电网 教育
交通 教育
教育 卫生
卫生 基础设施
重大 支农
重大 专项资金
支农 专项资金
进行 合理
进行 调整
合理 调整
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
施肥 专项资金
施肥 时
专项资金 时
专项资金 加大
时 加大
支持 力度
支持 农业
力度 农业
力度 综合
农业 综合
农业 开发
综合 开发
综合 资金
开发 资金
倾斜 帮助
帮助 人民
人民 农业
农业 生产
收入 年
年 我国
年 农村居民
我国 农村居民
我国 人均
农村居民 人均
农村居民 纯收入
人均 纯收入
纯收入 达到
达到 实现
实现 自年
政府 工作
政府 报告
工作 报告
报告 提出
提出 进一步
进一步 拓宽
进一步 农民
拓宽 农民
拓宽 增收
农民 增收
农民 渠道
增收 渠道
渠道 国民经济
国民经济 计划
国民经济 报告
计划 报告
今年 农民
今年 增收
农民 增收
农民 提出
增收 提出
代表 委员
惠农 政策
很多 实惠
连续 增收
连续 今年
增收 今年
政策 力度
信心 陕西省
村 党支部
村 书记
党支部 书记
书记 代表
过去 年
年 代表
年 委员
代表 委员
委员 认为
认为 三农
中央 连续
中央 出台
连续 出台
出台 指导
指导 三农
指导 工作
三农 工作
工作 一号
一号 文件
一号 中央财政
文件 中央财政
文件 用于
中央财政 用于
中央财政 三农
用于 三农
三农 支出
支出 累计
支出 达
累计 达
取消 农业税
减轻 农民负担
减轻 亿元
农民负担 亿元
农民负担 种粮
亿元 种粮
补贴 读书
覆盖 惠农
覆盖 政策
惠农 政策
惠农 一年
政策 一年
政策 更
一年 更
更 一年
一年 农民收入
农民收入 一年
农民收入 更
一年 更
更 一年
一年 海南
海南 县委书记
县委书记 代表
代表 地说
经济 贫困县
贫困县 过去
过去 年
年 县
县 农民
农民 人均
农民 纯收入
人均 纯收入
程度 得益于
得益于 国家
国家 惠农
惠农 政策
政策 现在
政策 全县
现在 全县
现在 农民
全县 农民
增收 今年
今年 国民经济
今年 计划
国民经济 计划
国民经济 报告
计划 报告
计划 提出
报告 提出
农民 人均
农民 纯收入
人均 纯收入
人均 实际
纯收入 实际
纯收入 增长
实际 增长
农村基层 代表
代表 委员
今年 中央
信心 年
信心 中央财政
年 中央财政
年 安排
中央财政 安排
中央财政 亿元
安排 亿元
安排 用于
亿元 用于
亿元 三农
用于 三农
用于 支出
三农 支出
三农 增长
支出 增长
支出 增幅
增长 增幅
直接 补贴
直接 亿元
补贴 亿元
补贴 增长
亿元 增长
亿元 用于
增长 用于
增长 支持
用于 支持
用于 农业
支持 农业
支持 生产
农业 生产
生产 投入
投入 亿元
投入 增长
亿元 增长
亿元 代表
增长 代表
增长 委员
代表 委员
委员 表示
表示 应当
看到 农民
看到 增收
农民 增收
增收 主要
因素 农民
因素 增收
农民 增收
明显 农民
农民 持续
农民 稳定
持续 稳定
持续 增收
稳定 增收
稳定 面临
增收 面临
面临 压力
压力 挑战
代表 参加
调查 粮食
调查 直补
粮食 直补
直补 农资
农资 综合
农资 直补
综合 直补
综合 农民
直补 农民
化肥 价格
价格 去年
吃 农资
农资 价格
价格 上涨
政策 农民
农民 实惠
实惠 造成
造成 农民
农民 增收
增收 困难
困难 种粮
种粮 成本
种粮 逐年
成本 逐年
成本 增加
逐年 增加
增加 粮价
粮价 年
年 年
年 粮食
年 每亩
粮食 每亩
粮食 实际
每亩 实际
每亩 收益
实际 收益
逐年 下降
逐年 趋势
下降 趋势
下降 种粮
趋势 种粮
趋势 效益
种粮 效益
程度 影响
影响 农民
农民 种粮
种粮 积极性
种粮 今年
积极性 今年
积极性 南方
今年 南方
今年 遭遇
南方 遭遇
农民 减少
农产品 价格
空间 比较
空间 有限
比较 有限
比较 农资
有限 农资
有限 价格上涨
农资 价格上涨
农资 农业
价格上涨 农业
农业 农民
农民 就业
农民 增收
就业 增收
增收 难度
面对 今年
面对 农民
今年 农民
今年 增收
农民 增收
目标 农业部
目标 副
农业部 副
农业部 部长
副 部长
接受 集体
接受 采访
集体 采访
集体 时
采访 时
挑战 持续
增收 持续
增收 日子
增收 一年
日子 一年
农民 群众
群众 关心
关心 问题
农业 农村
农村 发展
发展 核心
核心 目标
目标 面对
确保 农民
确保 持续
农民 持续
增收 代表
增收 委员
代表 委员
委员 表示
惠农 政策
政府 工作
政府 报告
工作 报告
工作 积极
报告 积极
报告 拓宽
积极 拓宽
积极 农民
拓宽 农民
拓宽 增收
农民 增收
农民 渠道
增收 渠道
调整 产业结构
调整 发展
产业结构 发展
产业结构 特色
发展 特色
介绍 村里
村里 发展
发展 蔬菜
发展 种植
蔬菜 种植
蔬菜 村
蔬菜 全村
村 全村
村 农民
全村 农民
全村 人均
农民 人均
农民 纯收入
人均 纯收入
纯收入 多元
多元 农村
多元 经济
农村 经济
经济 发展
发展 农民
农民 增收
对此 代表
县里 农民
农民 进行
进行 种植
种植 管理
管理 实用
管理 技术培训
实用 技术培训
实用 农民
技术培训 农民
技术培训 掌握
农民 掌握
培训 农民
农民 持续
农民 稳定
持续 稳定
持续 增收
稳定 增收
增收 促进
促进 农民
促进 有序
农民 有序
农民 转移
有序 转移
有序 就业
转移 就业
转移 增加
就业 增加
就业 农民
增加 农民
农民 工资
工资 收入
收入 广西
人口 农业
农业 县
打工 去年
打工 全县
去年 全县
去年 农民
全县 农民
全县 人均
农民 人均
农民 纯收入
人均 纯收入
人均 达
纯收入 达
纯收入 多元
达 多元
多元 工资
工资 收入
全国政协 委员
委员 教授
教授 认为
认为 积极
积极 发展
积极 龙头企业
发展 龙头企业
发展 带动
龙头企业 带动
龙头企业 农民
带动 农民
带动 增收
农民 增收
农民 致富
增收 致富
致富 农村
农村 地区
地区 重点
重点 发展
重点 农业
发展 农业
发展 产业化
农业 产业化
产业化 扶持
扶持 龙头企业
扶持 带动
龙头企业 带动
龙头企业 农民
带动 农民
传统 农业
农业 现代农业
现代农业 转变
现代农业 持续
转变 持续
转变 稳定
持续 稳定
持续 增收
稳定 增收
增收 我国
我国 农业
农业 程度
产业 水产
水产 养殖
养殖 防治
防治 中心
防治 副
中心 副
中心 主任
副 主任
副 王
主任 王
王 委员
委员 认为
委员 近年来
认为 近年来
认为 我国
近年来 我国
近年来 农村
我国 农村
农村 自然灾害
农民 增收
困难 特别
特别 近年
近年 农业
农业 产业结构
产业结构 调整
调整 规模经营
规模经营 发展
发展 产业化
产业化 步伐
步伐 加快
加快 农业
农民 农业
农业 保险
生产 生活
生活 保障
我国 农业
农业 规模
规模 不能
不能 满足
满足 农村
农村 需求
需求 王
王 委员
委员 建议
委员 政府
建议 政府
政府 部门
部门 应
部门 尽快
应 尽快
应 总结
尽快 总结
尽快 农业
总结 农业
总结 保险
农业 保险
农业 试点
保险 试点
保险 省市
试点 省市
省市 单位
单位 取得
取得 经验
经验 加快
经验 推进
加快 推进
加快 我国
推进 我国
推进 农业
我国 农业
我国 政策性
农业 政策性
农业 保险公司
政策性 保险公司
保险公司 建立
建立 推进
推进 农业
推进 支持
农业 支持
支持 建设
建设 进一步
建设 增强
进一步 增强
进一步 农业
增强 农业
农业 灾害
灾害 能力
确保 农民
实现 增收
果园 里
万元 浙江
浙江 引进
投入 万元
万元 回报
逐渐 进入
保险公司 没有
保险 意识
意识 不够
不够 只能
面对 灾害
其实 面对
其实 灾害
面对 灾害
面对 农业
灾害 农业
灾害 保险
农业 保险
保险 农业
农业 保险
农民 实惠
实惠 保险
保险 湖南
农业 风险
风险 较大
风险 保险公司
较大 保险公司
保险公司 企业
企业 很多
很多 开展
开展 农业
农业 积极性
年底 保险
保险 湖南
准备 油菜
油菜 进行
油菜 保险
进行 保险
没有 实行
油菜 进行
油菜 保险
进行 保险
亿元 农民
农民 农业
农业 保险
保险 需求
需求 非常
