时 想
合作社 万元
万元 万元
万元 资金
资金 万元
增加 产量
收购 去年
公司 亿元
亿元 亿元
亿元 资本
企业 达到
改革 进行
做 做
全面 改革
地区 农场
农场 传统
真正 成为
核心 建立
核心 产业化
建立 产业化
建立 专业
产业化 专业
产业化 公司
专业 公司
专业 基地
公司 基地
公司 农场
基地 农场
基地 家庭
农场 家庭
农场 农场
家庭 农场
农场 万亩
农场 土地
万亩 土地
优势 资源
优势 进行
资源 进行
进行 区域
区域 调整
集中 加工
加工 形式
农场 改造
改造 产业
产业 公司
产业化 龙头企业
产业化 龙头企业
产业 公司
产业化 专业
产业化 公司
专业 公司
专业 强化
公司 强化
加工 培育
加工 品牌
培育 品牌
品牌 环节
环节 基本
国家 投资
投资 长期
经营 实现
经营 种植
实现 种植
种植 优势
优势 农场
中心 加工
龙头企业 集中
集中 鼓励
鼓励 产业
鼓励 公司
产业 公司
公司 加工
加工 企业
加工 实现
企业 实现
企业 投资
实现 投资
实现 主体
投资 主体
家庭 农场
农场 真正
真正 成为
经营 万亩
万亩 实行
经营 左右
家庭 专业
专业 大户
专业 集中
大户 集中
现在 集中
现在 加工
集中 加工
农场 种植
农场 大户
种植 大户
万元 获得
获得 亩
去年 增长
今年 培育
不少 家庭
家庭 农场
农场 承包
养殖 大户
养殖 产品
大户 产品
产品 达
种植 大户
质量 提高
实现 万元
记者 现在
科技 科技
抓 粮食
采取 综合
综合 措施
投入 资金
投入 万元
资金 万元
资金 用于
万元 用于
用于 科技
科技 培训
培训 推广
玉米 水稻
水稻 我国
增收 主要
优质 高效
高效 生态
高效 安全
生态 安全
安全 要求
要求 采取
要求 综合
采取 综合
采取 措施
综合 措施
措施 粮食
保证 粮食
粮食 增收
增收 深化
深化 粮食
深化 产业
粮食 产业
产业 提高
提高 土地
土地 重点
万亩 绿色
万亩 水稻
绿色 水稻
粮食 产业
粮食 种植
种植 实行
推广 绿色
推广 有机
绿色 有机
有机 技术
技术 管理
管理 办法
管理 扩大
办法 扩大
扩大 粮食
粮食 产品
特色 品牌
品牌 进入
粮食 增强
增强 综合
综合 全市
水平 全国
面积 超过
镇 中心
中心 农机
农机 条件
乡镇 实行
面积 达到
采取 干部
形式 种粮
种粮 进行
进行 扶持
扶持 扶持
扶持 资金
亿元 左右
左右 投入
投入 万元
投入 用于
万元 用于
用于 配套
配套 设施
提高 粮食
粮食 综合
综合 能力
综合 全市
能力 全市
全市 种植
种植 面积
农业部 全国
全国 粮食
带动 市场
带动 带动
市场 带动
市场 科技
带动 科技
带动 带动
科技 带动
带动 主要
主要 内容
带动 战略
带动 加大
战略 加大
战略 龙头企业
加大 龙头企业
龙头企业 市场
市场 体系
体系 推动
推动 科技
推动 创新
科技 创新
加大 力度
风险 能力
能力 农民收入
农民收入 增长
农民收入 加快
增长 加快
人均 达到
形成 龙头企业
龙头企业 带动
带动 明确
龙头企业 实现
实现 亿元
过程 中
中 连续
龙头企业 形成
形成 基地
增强 龙头企业
龙头企业 带动
带动 功能
功能 坚持
坚持 集体
鼓励 引导
加工 企业
加工 企业
不少 万元
万元 资金
资金 用于
龙头企业 贷款
坚持 比较
比较 优势
各级 政府
比较 优势
产业 开发
蔬菜 种植
龙头企业 核心
地方 标准
地方 形成
标准 形成
规范 建立
机构 专业
实施 全市
获得 国家
获得 绿色
国家 绿色
获得 国家
过程 中
中 加强
获得 绿色
获得 科技
科技 专家
本报 北京
委员 书记
时 强调
群众 创新
创新 工程
试点 地区
试点 各级
地区 各级
地区 党组织
各级 党组织
党组织 各级
各级 领导
各级 干部
领导 干部
干部 进一步
进一步 深化
提供 经验
乡镇 村
试点 地区
地区 领导
领导 干部
干部 基层
基层 进行
情况 要求
要求 需要
需要 试点
试点 探索
试点 经验
探索 经验
全国 当前
进入 关键
进入 阶段
关键 阶段
任务 坚持
行动 实现
行动 教育
实现 教育
实现 培训
教育 培训
培训 促进
促进 经济社会
真正 解决
解决 三农问题
整合 利用
利用 资源
坚持 实际
资金 部门
加强 组织
加强 领导
组织 领导
坚持 试点
中央 提供
就业 增收
增收 销售
组织 开展
开展 培训
培训 积极性
积极性 促进
介绍 去年
介绍 全市
去年 全市
全市 组织
组织 培训
全市 人均
政府 培训
过程 中
过程 出现
中 出现
全市 各级
各级 投入
投入 培训
培训 万元
培训 制度
选择 培训
培训 内容
内容 培训
培训 机构
培训 组织
机构 组织
组织 培训
人员 培训
统一 县
开展 培训
培训 坚持
培训 培训
坚持 培训
培训 扩大
去年 全市
全市 组织
劳动力 坚持
坚持 培训
培训 提升
开展 专业
坚持 培训
开展 培训
培训 专业
时间 培训
发放 创业
创业 制度
制度 乡镇
乡镇 保障
发放 创业
创业 提供
规范 管理
土地 承包
打造 品牌
培训 重点
重点 培育
乡 村
村 村
村 村
村 特色
特色 乡镇
特色 特色
乡镇 特色
乡镇 村
特色 村
加工 加工
加工 劳动力
劳动力 品牌
农行 支持
支持 龙头企业
近年来 农行
发放 亿元
发放 扶贫
亿元 扶贫
亿元 贷款
扶贫 贷款
贷款 培育
培育 支持
支持 扶贫
扶贫 龙头企业
扶贫 覆盖
龙头企业 覆盖
覆盖 全省
全省 县
相关 产业
相关 投入
产业 投入
产业 资金
投入 资金
投入 亿元
资金 亿元
资金 促进
亿元 促进
财政 增收
财政 亿元
增收 亿元
亿元 增强
增强 贫困
贫困 农户
农户 贫困地区
促进 贫困地区
贫困地区 经济社会
经济社会 持续
农行 扶贫
扶贫 贷款
扶贫 直接
贷款 直接
贷款 发放
直接 发放
发放 村
认为 国家
直接 用于
用于 消费
消费 这种
没有 形成
没有 规模
形成 规模
形成 经济
规模 经济
探索 龙头企业
龙头企业 基地
龙头企业 农户
基地 农户
基地 市场
农户 市场
扶贫 资金
扶贫 重点
资金 重点
产业化 龙头企业
龙头企业 龙头企业
龙头企业 带动
龙头企业 基地
带动 基地
基地 带动
带动 增收
增收 养殖
养殖 加工
养殖 销售
加工 销售
销售 市场
投入 实现
项目 带动
带动 增收
农行 发放
农行 扶贫
发放 扶贫
发放 贷款
扶贫 贷款
扶贫 亿元
贷款 亿元
贷款 支持
亿元 支持
产业 公司
产业化 企业
产业化 利用
企业 利用
资源 开发
公司 帮助
建立 家庭
成为 公司
公司 帮助
公司 家庭
帮助 家庭
提供 科学
科技 指导
增收 人均
人均 增收
直接 销售
培育 扶贫
培育 龙头企业
扶贫 龙头企业
扶贫 提高
龙头企业 提高
提高 贫困地区
贫困地区 进入
进入 市场
综合 效益
效益 扶持
扶持 龙头企业
产业 振兴
振兴 经济
经济 致富
产业化 扶贫
扶贫 扶贫
扶贫 龙头企业
采取 养殖
采取 技术
养殖 技术
实现 亿元
亿元 项目
项目 实施
项目 带动
实施 带动
全市 乡镇
中 农户
成为 福建
积极 实施
实施 劳动力
劳动力 转移
劳动力 就业
转移 就业
就业 增收
劳动力 转移
劳动力 就业
转移 就业
就业 加快
经济 努力
努力 增加
努力 农民收入
增加 农民收入
全市 劳动力
人均 收入
劳动力 转移
劳动力 就业
转移 就业
转移 工程
就业 工程
培训 劳动力
劳动力 转移
重点 机构
全市 劳动力
劳动力 转移
劳动力 就业
转移 就业
达到 全市
收入 增长
劳动力 转移
劳动力 就业
转移 就业
就业 有效
积极 推进
积极 城镇化
推进 城镇化
推进 进程
城镇化 进程
全市 经济
产业 经济
提供 更
全市 达到
人均 提供
人均 收入
提供 收入
构建 调查
调查 培训
培训 组织
系统 组织
组织 力量
组织 进行
力量 进行
劳动力 资源
劳动力 资源
情况 建立
培训 方面
培训 坚持
方面 坚持
方面 培训
坚持 培训
培训 市场
培训 内容
内容 突出
突出 采取
集中 培训
培训 培训
培训 下乡
全市 培训
培训 劳动力
全国 不少
全国 地方
不少 地方
实现 劳动力
劳动力 转移
抓好 权益
权益 保障
保障 重点
抓 突出
一年 全市
维护 全市
全市 社会
社会 稳定
稳定 经济
经营 流通
加大 涉农
去年 全市
达到 涉农
国际 市场
公司 基地
公司 农户
基地 农户
加工 产业链
加工 带动
产业链 带动
带动 我国
企业 中国
中国 市场
全国 种植
种植 面积
种植 达
面积 达
达 产量
达到 国际
解决 长期
长期 中国
使用 集团
加工 企业
加工 企业
企业 集团
探索 中
提高 农民收入
地区 建立
种植 基地
种植 采取
基地 采取
基地 公司
采取 公司
采取 基地
公司 基地
公司 农户
基地 农户
农户 产业化
产业化 经营
产业化 模式
经营 模式
价格 收购
价格 带动
收购 带动
带动 种植
公司 加工
价格 收购
历史 战略
三农问题 进行
进行 理论
理论 重点
时期 三农问题
改变 城乡
城乡 经济社会
经济社会 结构
经济社会 改变
结构 改变
改变 政策
政策 选择
方面 城市
城乡 统筹
统筹 调整
调整 政策
战略 创新
创新 经济
提出 工业化
工业化 应
应 国家
国家 新型
国家 工业化
新型 工业化
新型 整合
工业化 整合
整合 中国
中国 特色
城镇化 应
城镇化 采取
应 采取
采取 产业化
战略 建立
要求 城乡
城乡 统一
推进 现代化
现代化 实现
指出 现代化
现代化 关键
关键 科技
科技 现代化
政府 三农问题
村里 土地
落实 中央
中央 文件
文件 生态
中央 文件
中央 文件
中央 文件
文件 提高
核心 农村基层
农村基层 探索
调查 中
传统 培训
培训 方式
书记 难题
难题 经验
经验 基础
基础 今年
全市 推广
统一 组织
组织 结合
重点 基层
需要 安排
需要 一定
安排 一定
安排 数量
一定 数量
环节 进行
部门 做
收入 差距
收入 扩大
差距 扩大
阶段 统筹
阶段 城乡
统筹 城乡
统筹 经济社会
城乡 经济社会
经济社会 突破
突破 三农问题
三农问题 解决
矛盾 全面
全面 小康社会
小康社会 实现
小康社会 经济社会
实现 经济社会
实现 全面
经济社会 全面
经济社会 协调
全面 协调
协调 持续
现实 需要
现实 加快
需要 加快
加快 工业化
工业化 积极
积极 推进
推进 产业化
产业化 经营
产业化 应
经营 应
经营 坚持
应 坚持
坚持 政府
政府 引导
引导 市场
龙头企业 中
推广 质量
推广 安全
质量 安全
流通 设施
设施 培训
投入 建立
支持 机制
支持 增强
机制 增强
市场 扩大
扩大 市场
改造 提升
提升 推动
推动 产业化
产业化 进程
产业化 工业
进程 工业
进程 企业
工业 企业
领域 领域
领域 工业
工业 进行
管理 实现
实现 现代化
现代 工业
特色 抓好
抓好 经济
经济 结构
结构 调整
要求 培育
产业化 保持
培育 龙头企业
培育 龙头企业
龙头企业 龙头企业
龙头企业 带动
解决 就业
就业 增加
增加 农民收入
农民收入 推进
推进 产业化
产业化 加快
加快 工业化
工业化 进程
工业化 中
进程 中
进程 发挥
中 发挥
作用 应
应 提升
实现 一体化
经济 鼓励
经济 城市
鼓励 城市
资金 参与
参与 开发
开发 开展
发挥 市场
发挥 作用
市场 作用
市场 积极
作用 积极
作用 引导
积极 引导
积极 龙头企业
引导 龙头企业
龙头企业 农户
农户 建立
资本 方向
方向 形成
利益 机制
当前 推进
推进 工业化
经营 管理
政府 应
政府 提供
应 提供
应 制度
提供 制度
提供 保障
制度 保障
投资 创业
作用 实现
具有 创业
合作 经济
合作 组织
经济 组织
组织 合作
合作 经济
合作 组织
经济 组织
市场 龙头企业
进入 市场
市场 有效
有效 形式
有效 应
形式 应
形式 扶持
应 扶持
应 示范
扶持 示范
扶持 引导
示范 引导
龙头企业 专业
专业 大户
专业 建立
大户 建立
合作 经济
合作 组织
经济 组织
组织 推进
推进 城镇化
城镇化 城镇化
城镇化 工业化
产业化 进一步
工业化 现代化
推进 城镇化
城镇化 解决
解决 三农问题
不足 增加
增加 就业
就业 城乡
城乡 差距
加快 城市
加快 经济
城市 经济
发挥 城市
带动 作用
转变 切实
转变 提高
切实 提高
切实 城镇化
提高 城镇化
带动 作用
成为 人口
人口 转移
优化 升级
现代 企业
市场 力量
力量 加快
加快 基础设施
基础设施 创新
生活 积极
生活 推进
积极 推进
推进 劳动力
转移 劳动力
部门 就业
就业 提高
增加 农民收入
增加 促进
农民收入 促进
需要 制定
制定 完善
配套 政策
作用 进一步
作用 改善
进一步 改善
改善 进城
进城 就业
进城 环境
就业 环境
就业 保障
环境 保障
环境 进城
保障 进城
保障 就业
进城 就业
建立 城乡
就业 制度
人口 比较
提供 更
应 重点
产业 推进
产业化 经营
产业化 成为
经营 成为
经营 带动
成为 带动
推动 城乡
推动 协调
城乡 协调
力量 增加
产品 投入
投入 提高
增强 就业
就业 能力
能力 主要
主要 应
主要 做好
应 做好
投资 增加
劳动力 教育
教育 投资
教育 文化
投资 文化
投资 投资
文化 投资
教育 制度
教育 构建
制度 构建
制度 完善
构建 完善
教育 体系
教育 增加
体系 增加
体系 培训
增加 培训
强化 就业
就业 培训
就业 重视
培训 重视
就业 指导
指导 组织
组织 采取
采取 利益
采取 机制
利益 机制
城市 科技
本报 北京
三农问题 今年
今年 开展
重点 三农问题
调研 会议
三农问题 中心
土地 管理
土地 落实
管理 落实
落实 政策
政策 加强
政策 金融
加强 金融
加强 支农
金融 支农
支农 方面
方面 主要
主要 内容
调查 研究
形式 国务院
党中央 国务院
国务院 三农问题
措施 得到
讲话 时
讲话 强调
时 强调
国家 经济社会
深入 调研
深入 保障
调研 保障
保障 促进
促进 涉农
调研 重点
重点 要求
要求 记者
记者 了解
了解 围绕
围绕 三农问题
围绕 开展
三农问题 开展
政策 金融
金融 支农
了解 情况
进行 调研
左右 优质
左右 蔬菜
优质 蔬菜
过去 蔬菜
蔬菜 主要
积极 努力
努力 蔬菜
钱 近年来
抓 三农问题
区域 特色
区域 经济
特色 经济
经济 成为
乡 中国
乡 全国
项目 搞
搞 技术
有效 解决
中 存在
存在 技术
技术 确保
种 去年
搞 培训
大量 历史
进程 进行
重大 提出
领域 绿色
历史 现实
现实 理论
理论 实际
实际 政策
政策 措施
措施 起来
帮助 增收
增收 致富
增收 帮助
致富 帮助
困难 帮助
帮助 全面
科学 精神
优质 高效
工业 经济
工业 现在
经济 现在
经济 进入
现在 进入
进入 时代
科技 正在
加快 我国
经济 解决
解决 三农问题
领导 实践
三农问题 系统
系统 深入
指导 全省
领导 干部
很多 时间
推广 全国
领导 干部
社会 过程
过程 中
进行 理论
推动 我国
推动 全面
我国 全面
全面 小康社会
小康社会 进程
调研 强调
思想 指导
指导 围绕
指导 三农问题
围绕 三农问题
党中央 国务院
国务院 三农问题
三农问题 措施
措施 得到
明显 做好
落实 情况
调研 重点
调研 中
加强 基础
继续 采取
种粮 积极性
种粮 确保
积极性 确保
积极性 今年
确保 今年
确保 粮食
今年 粮食
指出 土地
突出 一定
农村土地 承包
承包 切实
切实 保护
保护 耕地
权益 保护
研究 探索
研究 解决
探索 解决
探索 三农问题
解决 三农问题
县域 经济
县域 进一步
经济 进一步
努力 增加
努力 农民收入
增加 农民收入
进一步 加强
统筹 城乡
统筹 经济社会
城乡 经济社会
指出 三农问题
三农问题 核心
生活 水平
水平 提高
提高 直接
提高 关系
直接 关系
关系 全面
全面 小康社会
小康社会 目标
目标 实现
管理 部门
重中之重 抓好
抓好 强调
数量 加强
群众 突出
提高 最大
满足 群众
群众 增长
增长 精神
精神 文化
精神 需求
文化 需求
需求 加大
加大 政府
加大 扶持
政府 扶持
政府 力度
扶持 力度
扶持 鼓励
力度 鼓励
扶持 措施
应 实行
建立 全国
继续 实行
时 各地
时 应
各地 应
各地 积极
应 积极
应 协调
积极 协调
各地 管理
管理 部门
要求 加快
完善 农村基层
进一步 完善
完善 落实
落实 各地
网络 规划
规划 国家
国家 地方
国家 社会
地方 社会
方面 积极性
积极性 加快
完善 农村基层
网络 条件
条件 地区
鼓励 投资
投资 开发
市场 部门
部门 继续
继续 开展
继续 科技
开展 科技
开展 文化
科技 文化
要求 抓
抓 监管
监管 整治
市场 环境
市场 当前
环境 当前
当前 继续
继续 落实
继续 党中央
落实 党中央
党中央 治理
精神 乡镇
乡镇 村级
乡镇 组织
村级 组织
标准 加强
市场 管理
行动 加强
市场 管理
管理 规范
活动 强调
得到 深化
推动 各级
推动 政府
各级 政府
各级 利用
政府 利用
政府 政府
利用 政府
有效 办法
贫困地区 困难
教育 加快
教育 推进
加快 推进
增加 品种
品种 数量
文化 扶贫
文化 工程
扶贫 工程
扶贫 帮助
工程 帮助
工程 解决
帮助 解决
难 难
难 市场
难 信息
市场 信息
强调 做好
精神 党中央
党中央 国务院
国务院 三农问题
管理 部门
加强 领导
加强 抓好
领导 抓好
关系 社会
关系 稳定
社会 稳定
社会 关系
稳定 关系
各级 部门
部门 实践
社会 群众
近年来 各级
各级 部门
部门 围绕
部门 党
围绕 党
各项 深入
领域 取得
会议 各级
各级 部门
政府 领导
涉农 部门
涉农 进行
部门 进行
部门 统一
进行 统一
成为 社会
各地 坚持
文件 乡镇
乡镇 村级
全面 小康
办法 解决
条件 地方
地方 目标
目标 管理
管理 机制
基础 业务
业务 规范
管理 稳定
土地 承包
土地 关系
承包 关系
关系 党
土地 承包
得到 农村土地
农村土地 承包
认为 部门
基本 政策
作用 各级
各级 部门
部门 加强
加强 土地
土地 承包
承包 流转
管理 产业化
产业化 经营
改革 劳动力
改革 就业
劳动力 就业
就业 统筹
统筹 方面
管理 积极
管理 维护
积极 维护
维护 利益
利益 保障
社会 稳定
社会 促进
稳定 促进
管理 部门
全国 乡镇
建立 乡镇
建成 县
各地 形成
乡镇 村
科技 部门
开发 信息
信息 资源
资源 不少
不少 致富
想 技术
技术 销售
阶段 部门
科技 信息
信息 信息
管理 解决
科技 提供
信息 企业
企业 农户
引导 镇
信息 利用
技术 市场
市场 信息
渠道 帮助
帮助 了解
人民 群众
人民 实践
群众 实践
群众 活动
实践 活动
人民 群众
人民 群众
人民 我国
群众 我国
开展 加快
劳动力 转移
转移 进行
进行 扶贫
关系 党
基本 政策
政策 长期
长期 稳定
长期 关系
稳定 关系
稳定 深化
关系 深化
创新 形式
形式 地方
地方 部门
科技 文化
乡 深入
指导 建立
地方 部门
提供 村民
相关 政策
政策 地方
地方 部门
部门 建立
要求 困难
解决 地方
地方 部门
部门 建立
实施 引导
地方 部门
部门 科技
科技 中
三农问题 必须
三农问题 坚持
必须 坚持
建成 中国
促进 增收
必须 坚持
政策 强化
强化 增收
增收 保障
增收 近年来
保障 近年来
保障 中央
近年来 中央
中央 三农问题
三农问题 出台
中央 政策
加强 政策
实际 出台
重点 扶持
扶持 养殖
养殖 鼓励
鼓励 加工
加工 企业
企业 促进
产业化 方向
产业化 转变
方向 转变
方向 帮助
转变 帮助
帮助 增收
增收 制定
制定 政策
转移 切实
转移 保护
切实 保护
资金 增强
必须 增加
增加 投入
投入 改善
基础设施 条件
条件 今年
今年 安排
今年 投入
安排 投入
投入 重点
重点 用于
投资 万元
投资 用于
万元 用于
投资 万元
投资 实施
万元 实施
改造 利用
利用 时间
时间 实现
加快 社会
社会 事业
事业 改善
财政 万元
万元 建立
建立 新型
新型 制度
保证 投入
投入 资金
国家 支农
国家 资金
支农 资金
资金 最大
财政 支农
财政 投资
支农 投资
支农 达到
投资 达到
达到 超过
超过 财政
财政 增长
财政 水平
增长 水平
实际 采取
村 乡镇
乡镇 形式
形式 积极
形式 扩大
积极 扩大
积极 信贷
扩大 信贷
扩大 规模
信贷 规模
信贷 达
信贷 亿元
达 亿元
亿元 技术
技术 提高
提高 就业
劳动力 起来
实现 增收
技术 部门
部门 社会
社会 资源
养殖 养殖
培训 高效
高效 设施
设施 成为
成为 就业
就业 主要
主要 领域
项目 培训
工业化 安排
优势 开展
培训 实现
条件 信息
造成 增产
增产 增收
增收 主要
保护 利益
利益 市场
市场 风险
提供 信息
信息 提高
提高 进入
进入 市场
程度 投资
投资 亿元
国际 市场
市场 建立
建立 县
市场 信息
组织 提供
围绕 培育
养殖 基地
基地 推广
成立 高效
专业 合作
专业 组织
合作 组织
合作 促进
组织 促进
三农问题 进行
进行 研究
金融 支农
调研 报告
调研 本报记者
报告 本报记者
本报 北京
三农问题 今年
土地 管理
管理 耕地
耕地 保护
耕地 落实
保护 落实
保护 各项
落实 各项
金融 支农
方面 进行
调研 报告
实施 情况
党中央 国务院
国务院 三农问题
地方 部门
重视 中央
中央 各项
正在 得到
得到 落实
土地 耕地
土地 大量
耕地 大量
耕地 减少
大量 减少
种粮 积极性
积极性 粮食
土地 管理
管理 耕地
耕地 保护
耕地 粮食
保护 粮食
土地 使用
使用 方面
方面 存在
存在 应
存在 继续
应 继续
继续 关注
利用 土地
土地 切实
切实 保护
切实 耕地
保护 耕地
耕地 我国
土地 管理
土地 加强
管理 加强
长期 任务
任务 我国
我国 加快
我国 工业化
加快 工业化
工业化 城镇化
城镇化 进程
进程 中
进程 保护
中 保护
中 耕地
保护 耕地
土地 管理
土地 加强
管理 加强
落实 各项
各项 政策
政策 调研
调研 情况
党中央 国务院
党中央 今年
国务院 今年
国务院 出台
今年 出台
支农 政策
调研 落实
落实 直接
落实 补贴
直接 补贴
补贴 政策
政策 得到
种粮 积极性
种粮 正在
积极性 正在
正在 粮食
粮食 下降
基本 得到
建议 提高
提高 粮食安全
认识 完善
补贴 政策
增加 加快
加快 推广
推广 体系
推广 改革
体系 改革
金融 支农
金融 支农
调研 情况
调研 情况
情况 全国
全国 金融
全国 支农
金融 支农
支农 正在
正在 得到
正在 加强
得到 加强
存在 不足
农户 贷款
农户 难
贷款 难
贷款 贷款
难 贷款
难 满足
贷款 满足
不能 满足
满足 农户
满足 需要
农户 需要
农户 金融机构
需要 金融机构
需要 提供
金融机构 提供
适应 信贷
金融 需求
需求 建议
建议 进一步
建议 加大
进一步 加大
进一步 金融
加大 金融
加大 支农
金融 支农
金融 力度
支农 力度
支农 会议
力度 会议
情况 报告
本报 北京
会议 强调
关系 经济社会
人民 群众
地区 部门
认识 真正
真正 解决
解决 三农问题
抓好 切实
抓好 保障
切实 保障
切实 涉农
保障 涉农
围绕 三农问题
涉农 实施
实施 支农
支农 政策
支农 落实
政策 落实
落实 情况
情况 了解
了解 大量
提出 进一步
建议 活动
活动 力量
活动 集中
力量 集中
力量 重点
集中 重点
集中 突出
重点 突出
关键 取得
三农问题 去年
党中央 国务院
党中央 采取
国务院 采取
取得 明显
地区 部门
部门 落实
部门 中央
落实 中央
中央 三农问题
土地 市场
市场 取得
取得 一定
中央 政策
政策 落实
种粮 积极性
种粮 粮食
积极性 粮食
继续 收入
调研 中
切实 提高
提高 粮食安全
粮食安全 三农问题
认识 真正
真正 解决
解决 三农问题
人口 确保
确保 粮食安全
确保 始终
粮食安全 始终
始终 经济
经济 社会
社会 稳定
稳定 国家
国家 安全
安全 基础
保护 耕地
保护 确保
耕地 确保
耕地 粮食安全
确保 粮食安全
粮食安全 关系
地区 部门
认识 统一
统一 中央
中央 精神
统筹 要求
要求 重视
重视 解决
解决 三农问题
解决 落实
三农问题 落实
落实 行动
行动 中
成果 切实
保护 耕地
保护 耕地
基础 保持
保持 加大
保持 支农
保持 政策
支农 政策
中央 鼓励
鼓励 种粮
种粮 政策
解决 三农问题
长期 过程
长期 必须
过程 必须
思想 保持
思想 政策
保持 政策
解决 三农问题
需要 建议
需要 国务院
建议 国务院
国务院 明确
继续 涉农
进一步 加大
切实 保障
切实 涉农
保障 涉农
有效 实施
实施 解决
解决 三农问题
村民 创业
经济 解决
解决 就业
就业 增加
就业 农民收入
增加 农民收入
现代化 进程
进程 中
中 全国
全国 北京
村 集团
切实 代表
记者 介绍
介绍 村
实行 家庭
成为 产业
积极 社会
扶贫 近年来
近年来 村
贫困地区 教育
贫困地区 事业
教育 事业
社会 教育
教育 投资
投资 亿元
亿元 近年来
思想 学习
思想 教育
学习 教育
学习 活动
教育 活动
人民 群众
人民 群众
群众 难题
提出 大量
建议 北京
应 种植
得到 部门
适应 时期
需要 提出
理论 知识
知识 学习
加强 理论
加强 学习
理论 学习
理论 更
学习 更
学习 调查
调查 研究
调查 没有
研究 没有
研究 调查
没有 调查
调查 没有
代表 提出
建议 制定
调查 研究
研究 基础
基础 提出
污染 人民
人民 群众
镇 领导
领导 深入
研究 解决
研究 措施
解决 措施
努力 污染
污染 得到
解决 污染
污染 今年
部门 协调
直接 影响
部门 提出
建议 得到
乡镇 经济
经济 发挥
发挥 作用
围绕 三农问题
涉农 实施
实施 支农
支农 政策
支农 落实
政策 落实
落实 情况
情况 了解
了解 大量
会议 强调
关系 经济社会
人民 群众
地区 部门
认识 真正
真正 解决
解决 三农问题
抓好 切实
抓好 保障
切实 保障
切实 涉农
保障 涉农
近年来 我国
方面 难题
全国 粮食
全国 粮食
增收 城乡
城乡 差距
差距 扩大
差距 三农问题
扩大 三农问题
三农问题 今年
成为 今年
调研 重点
支持 今年
围绕 三农问题
涉农 实施
实施 支农
支农 政策
支农 落实
政策 落实
落实 情况
情况 了解
了解 大量
提出 进一步
建议 活动
活动 力量
活动 集中
力量 集中
力量 重点
集中 重点
集中 突出
重点 突出
关键 取得
调研 报告
调研 进行
报告 进行
认为 党中央
认为 国务院
党中央 国务院
党中央 今年
国务院 今年
国务院 出台
今年 出台
有效 支农
支农 措施
各地 群众
保持 政策
确保 粮食安全
增收 确保
确保 真正
真正 得到
会议 报告
实施 情况
粮食 大量
大量 减少
农业部 我国
减少 粮食
下降 粮食
人均 粮食
增收 城乡
城乡 差距
差距 扩大
中 全国
全国 人均
增长 目标
粮食 大量
大量 减少
地方 搞
过程 条件
没有 条件
耕地 保护
耕地 制度
保护 制度
土地 我国
关注 委员
委员 粮食安全
粮食 连续
解决 粮食
必须 采取
保证 粮食
种粮 积极性
促进 增收
增收 中央
中央 文件
文件 今年
今年 温家宝
政府 报告
报告 中
采取 更
采取 直接
更 直接
更 更
直接 更
加强 支持
支持 保护
保护 努力
努力 增加
努力 农民收入
增加 农民收入
农民收入 调研
调研 报告
报告 中国
土地 面积
土地 面积
粮食 安排
安排 粮食
补贴 资金
补贴 亿元
资金 亿元
亿元 粮食
看到 种粮
种粮 积极性
实施 情况
实施 进行
情况 进行
指出 稳定
种粮 比较
种粮 效益
比较 效益
主要 信贷
信贷 投入
信贷 不足
投入 不足
投入 贷款
不足 贷款
不足 难
贷款 难
金融 支农
调研 报告
金融机构 中
贷款 余额
余额 当前
信贷 投入
信贷 不足
投入 不足
投入 农户
不足 农户
不足 贷款
农户 贷款
农户 难
贷款 难
现在 信用社
报告 时
时 委员
委员 建议
金融 银行
银行 功能
功能 进行
贷款 确保
确保 一定
政策 今年
政策 进行
调研 调研
调研 情况
调研 情况
情况 中央
中央 加强
加强 政策
政策 各地
各地 群众
各项 政策
政策 确保
确保 粮食安全
会议 报告
落实 各项
各项 政策
政策 情况
情况 调研
三农问题 确保
确保 粮食安全
认识 积极
认识 制定
积极 制定
落实 各项
各项 政策
政策 政策
调研 中
落实 政策
政策 中
粮食 各级
各级 财政
财政 困难
发放 补贴
发放 补贴
没有 使用
补贴 财政
财政 支农
财政 资金
支农 资金
投入 结构
结构 投资
投资 渠道
渠道 资金
资金 使用
投资 渠道
投资 达
渠道 达
项目 投资
项目 渠道
投资 渠道
政策 保持
各项 政策
政策 确保
确保 粮食安全
增收 推动
增收 三农问题
推动 三农问题
三农问题 解决
解决 建议
地区 确保
确保 粮食安全
粮食安全 保护
保护 耕地
耕地 认识
思想 行动
加快 推广
推广 体系
推广 改革
体系 改革
体系 提高
改革 提高
提高 科技
科技 水平
科技 加快
水平 加快
建立 解决
建立 三农问题
解决 三农问题
今年 中央
中央 文件
现在 存在
存在 不少
实际 情况
情况 很多
很多 政策
政策 没有
得到 落实
种粮 积极性
调研 情况
地方 农资
报告 时
中央 政策
提出 全面
全面 小康社会
小康社会 今年
今年 中央
中央 出台
一号 文件
文件 解决
解决 三农问题
解决 促进
三农问题 促进
经济 增加
经济 农民收入
增加 农民收入
全面 小康社会
小康社会 重中之重
阶段 全面
全面 小康社会
增加 农民收入
农民收入 重大
重大 历史
重大 任务
历史 任务
开发 干部
开发 必须
干部 必须
思想 强化
根本 转变
调查 研究
研究 解决
解决 存在
不能 搞
发挥 效益
收入 致富
致富 工程
致富 真正
